ejercicio,area,institucion,unidad,linea,fuente,economico,objeto,aprobado,propuesto,nivel,diferencia
2019,1,100,1,101,1,2111,51101,3265560,,1,
2019,1,100,1,101,1,2111,51103,72090,,1,
2019,1,100,1,101,1,2111,51104,23460,,1,
2019,1,100,1,101,1,2111,51107,210775,,1,
2019,1,100,1,101,1,2111,51201,15715060,,1,
2019,1,100,1,101,1,2111,51203,510895,,1,
2019,1,100,1,101,1,2111,51204,65340,,1,
2019,1,100,1,101,1,2111,51207,1021830,,1,
2019,1,100,1,101,1,2111,51401,586055,,1,
2019,1,100,1,101,1,2111,51402,3433885,,1,
2019,1,100,1,101,1,2111,51501,73790,,1,
2019,1,100,1,101,1,2111,51502,159885,,1,
2019,1,100,1,101,1,2112,54101,69785,,1,
2019,1,100,1,101,1,2112,54103,100,,1,
2019,1,100,1,101,1,2112,54104,15,,1,
2019,1,100,1,101,1,2112,54105,89050,,1,
2019,1,100,1,101,1,2112,54106,195,,1,
2019,1,100,1,101,1,2112,54107,21975,,1,
2019,1,100,1,101,1,2112,54112,65,,1,
2019,1,100,1,101,1,2112,54114,40765,,1,
2019,1,100,1,101,1,2112,54115,8695,,1,
2019,1,100,1,101,1,2112,54116,80,,1,
2019,1,100,1,101,1,2112,54118,355,,1,
2019,1,100,1,101,1,2112,54119,1190,,1,
2019,1,100,1,101,1,2112,54199,13575,,1,
2019,1,100,1,101,1,2112,54301,3000,,1,
2019,1,100,1,101,1,2112,54303,4345,,1,
2019,1,100,1,101,1,2112,54304,5500,,1,
2019,1,100,1,101,1,2112,54314,40000,,1,
2019,1,100,1,101,1,2112,54599,4000,,1,
2019,1,100,1,101,1,2211,61101,19605,,1,
2019,1,100,1,101,1,2211,61102,4395,,1,
2019,1,100,1,101,1,2211,61104,1000,,1,
2019,1,100,1,101,1,2211,61199,2805,,1,
2019,1,100,1,102,1,2111,51101,1144665,,1,
2019,1,100,1,102,1,2111,51103,27375,,1,
2019,1,100,1,102,1,2111,51104,2760,,1,
2019,1,100,1,102,1,2111,51107,86235,,1,
2019,1,100,1,102,1,2111,51201,1404600,,1,
2019,1,100,1,102,1,2111,51203,44115,,1,
2019,1,100,1,102,1,2111,51207,105395,,1,
2019,1,100,1,102,1,2111,51301,155700,,1,
2019,1,100,1,102,1,2111,51401,227910,,1,
2019,1,100,1,102,1,2111,51402,319705,,1,
2019,1,100,1,102,1,2111,51403,10510,,1,
2019,1,100,1,102,1,2111,51501,17040,,1,
2019,1,100,1,102,1,2111,51502,10320,,1,
2019,1,100,1,102,1,2111,51503,13790,,1,
2019,1,100,1,102,1,2111,51701,140000,,1,
2019,1,100,1,102,1,2111,51903,24000,,1,
2019,1,100,1,102,1,2111,51999,40000,,1,
2019,1,100,1,102,1,2112,54101,9645,,1,
2019,1,100,1,102,1,2112,54104,43230,,1,
2019,1,100,1,102,1,2112,54105,22925,,1,
2019,1,100,1,102,1,2112,54106,2105,,1,
2019,1,100,1,102,1,2112,54107,15235,,1,
2019,1,100,1,102,1,2112,54108,29890,,1,
2019,1,100,1,102,1,2112,54110,10,,1,
2019,1,100,1,102,1,2112,54111,2400,,1,
2019,1,100,1,102,1,2112,54113,2860,,1,
2019,1,100,1,102,1,2112,54114,6940,,1,
2019,1,100,1,102,1,2112,54115,4115,,1,
2019,1,100,1,102,1,2112,54118,1770,,1,
2019,1,100,1,102,1,2112,54119,910,,1,
2019,1,100,1,102,1,2112,54199,3690,,1,
2019,1,100,1,102,1,2112,54201,210000,,1,
2019,1,100,1,102,1,2112,54301,1980,,1,
2019,1,100,1,102,1,2112,54310,10400,,1,
2019,1,100,1,102,1,2112,54314,15300,,1,
2019,1,100,1,102,1,2112,54399,219275,,1,
2019,1,100,1,102,1,2112,54505,11480,,1,
2019,1,100,1,102,1,2135,55599,3960,,1,
2019,1,100,1,102,1,2136,55601,466080,,1,
2019,1,100,1,102,1,2142,5623231,50,,1,
